Sorted by highest frequency
Entity id, count
5590, 2051
3325, 1844
8269, 1484
12223, 1244
9781, 970
13088, 817
4746, 760
6856, 724
2119, 696
733, 648
470, 642
6547, 625
7555, 572
4, 525
1483, 350
2313, 326
12937, 293
7221, 276
7374, 272
4358, 256
3457, 251
13534, 235
14326, 233
4415, 218
13694, 218
6872, 213
8650, 209
14764, 198
5241, 192
10980, 181
8621, 176
11690, 176
2407, 174
8939, 174
5358, 164
13591, 164
7529, 153
14398, 151
4688, 149
10599, 144
3064, 142
10243, 142
6083, 141
2146, 140
7585, 139
14458, 139
8403, 134
1356, 131
10861, 128
485, 126
1362, 125
1972, 124
1065, 123
2696, 120
11608, 120
8393, 119
12329, 119
4188, 118
207, 117
947, 117
8906, 117
6560, 115
14214, 115
6781, 114
4783, 113
5305, 111
1214, 110
294, 108
7969, 107
9539, 107
1674, 106
3198, 104
6005, 101
6981, 101
7285, 101
3983, 100
1470, 99
4714, 97
6885, 97
9163, 97
14933, 97
7701, 95
13346, 94
12126, 93
2565, 92
1904, 91
4643, 91
13265, 90
5269, 89
468, 87
5688, 87
6963, 87
7277, 87
7890, 87
3340, 86
5239, 86
5072, 85
11238, 85
5938, 84
9824, 84
10752, 84
5218, 82
12832, 82
5800, 81
8718, 81
1478, 80
7746, 80
13017, 80
905, 79
2331, 79
4535, 79
12230, 79
4300, 78
6768, 78
8645, 78
1731, 77
10241, 77
13103, 77
1039, 76
2744, 76
4423, 76
8935, 76
5912, 75
9035, 75
14132, 75
11194, 74
14858, 74
4943, 73
6256, 73
12891, 73
5240, 71
552, 70
10515, 70
5011, 69
7757, 69
13472, 69
13500, 69
763, 68
3994, 68
4544, 68
6985, 68
8464, 68
8882, 68
12795, 68
14103, 68
1457, 67
1830, 67
4207, 67
6354, 67
10959, 67
14004, 67
1937, 66
2754, 66
4219, 66
6496, 66
7564, 66
10869, 66
1071, 64
2668, 64
8511, 64
8785, 64
12216, 64
12245, 64
12349, 64
14338, 64
424, 63
612, 63
2890, 63
12493, 63
12764, 63
819, 62
888, 62
3791, 62
5330, 62
6727, 62
7348, 62
220, 61
7164, 61
9034, 61
9352, 61
3559, 60
3443, 59
2344, 58
3453, 58
3534, 58
12231, 58
13840, 58
7107, 57
7668, 57
13447, 57
1266, 56
5910, 56
10877, 56
3070, 55
3911, 55
4078, 55
13829, 55
1650, 54
6713, 54
86, 53
452, 53
3858, 53
10359, 53
12633, 53
12714, 52
1313, 51
1767, 51
2536, 51
8647, 51
12194, 51
14389, 51
3927, 50
11231, 50
6949, 49
11055, 49
4697, 48
6976, 48
7871, 48
9511, 48
10320, 48
10996, 48
11005, 48
715, 47
1055, 47
9513, 47
173, 46
2855, 46
5027, 46
9863, 46
12423, 46
14777, 46
1788, 45
2829, 45
3405, 45
3708, 45
5779, 45
7452, 45
7779, 45
9211, 45
10817, 45
11250, 45
12890, 45
3197, 44
6046, 44
6773, 44
7582, 44
9733, 44
10479, 44
11117, 44
11219, 44
13001, 44
14104, 44
14822, 44
14926, 44
1741, 43
3339, 43
5258, 43
7679, 43
10767, 43
12595, 43
12729, 43
14065, 43
14254, 43
14779, 43
2194, 42
4684, 42
6726, 42
11610, 42
13204, 42
13494, 42
13985, 42
14920, 42
2304, 41
3108, 41
5069, 41
9302, 41
10011, 41
13974, 41
14045, 41
14154, 41
14898, 41
4055, 40
4533, 40
4792, 40
5929, 40
7338, 40
7398, 40
8489, 40
8654, 40
8656, 40
9954, 40
10644, 40
10902, 40
198, 39
2620, 39
4832, 39
5030, 39
5213, 39
6762, 39
7562, 39
7839, 39
9992, 39
10683, 39
11258, 39
11357, 39
11411, 39
12186, 39
14210, 39
14603, 39
794, 38
3031, 38
4019, 38
6100, 38
6540, 38
8837, 38
9391, 38
12393, 38
13376, 38
14491, 38
448, 37
1161, 37
2839, 37
3414, 37
4872, 37
5867, 37
9149, 37
12084, 37
13169, 37
14925, 37
677, 36
2713, 36
2903, 36
4343, 36
4447, 36
7524, 36
7549, 36
8387, 36
9009, 36
13021, 36
14297, 36
14790, 36
49, 35
2615, 35
3550, 35
3782, 35
4998, 35
5344, 35
5891, 35
6185, 35
7544, 35
7610, 35
8903, 35
10090, 35
11368, 35
14316, 35
14421, 35
14885, 35
1331, 34
1656, 34
5345, 34
5825, 34
5903, 34
6238, 34
7846, 34
7940, 34
9985, 34
10926, 34
11416, 34
12026, 34
13812, 34
14539, 34
14702, 34
158, 33
384, 33
1226, 33
1285, 33
1685, 33
1726, 33
3063, 33
4105, 33
4991, 33
6211, 33
8549, 33
8631, 33
10504, 33
12152, 33
12523, 33
12994, 33
14060, 33
330, 32
530, 32
3219, 32
3408, 32
3625, 32
4744, 32
6030, 32
7060, 32
7087, 32
7432, 32
7670, 32
8317, 32
8357, 32
11111, 32
11576, 32
12513, 32
12592, 32
1210, 31
2592, 31
3238, 31
4049, 31
4419, 31
5992, 31
6027, 31
7300, 31
7637, 31
7836, 31
8304, 31
8554, 31
8978, 31
12046, 31
13716, 31
118, 30
996, 30
1147, 30
1434, 30
1661, 30
2085, 30
2226, 30
2302, 30
3679, 30
4601, 30
5395, 30
5589, 30
5635, 30
5812, 30
7413, 30
7444, 30
7816, 30
7932, 30
8336, 30
8377, 30
8432, 30
8937, 30
9081, 30
9700, 30
10490, 30
10978, 30
11265, 30
12397, 30
12788, 30
12792, 30
12793, 30
13284, 30
13410, 30
14005, 30
14331, 30
14726, 30
14890, 30
134, 29
1976, 29
2204, 29
2475, 29
3494, 29
3739, 29
5776, 29
6608, 29
7511, 29
8608, 29
8682, 29
8965, 29
10233, 29
10470, 29
10592, 29
10808, 29
10932, 29
12006, 29
12125, 29
13350, 29
14090, 29
1261, 28
1453, 28
2024, 28
2130, 28
2257, 28
2857, 28
2931, 28
3227, 28
3517, 28
3694, 28
3800, 28
3904, 28
4518, 28
4626, 28
5043, 28
6530, 28
6678, 28
6685, 28
7900, 28
8627, 28
9367, 28
11656, 28
11988, 28
12415, 28
12810, 28
12826, 28
12924, 28
13117, 28
13273, 28
13849, 28
14625, 28
14757, 28
230, 27
255, 27
553, 27
756, 27
1425, 27
1545, 27
1567, 27
1639, 27
2921, 27
3155, 27
4810, 27
5303, 27
5552, 27
6304, 27
6484, 27
7227, 27
7316, 27
7963, 27
8021, 27
8248, 27
8394, 27
8510, 27
10372, 27
10688, 27
11198, 27
11719, 27
11892, 27
13005, 27
13114, 27
13428, 27
14287, 27
65, 26
410, 26
673, 26
969, 26
2051, 26
2312, 26
2593, 26
3103, 26
3280, 26
3506, 26
3630, 26
3966, 26
4380, 26
4729, 26
5049, 26
5908, 26
6105, 26
6340, 26
6404, 26
6589, 26
7003, 26
7622, 26
7744, 26
7770, 26
7794, 26
8061, 26
8735, 26
9332, 26
9400, 26
9461, 26
9588, 26
10254, 26
10355, 26
10710, 26
11228, 26
11621, 26
12011, 26
12288, 26
12746, 26
12847, 26
13013, 26
13687, 26
14067, 26
14252, 26
14439, 26
911, 25
1533, 25
1686, 25
1695, 25
1808, 25
2160, 25
2272, 25
2414, 25
2547, 25
3386, 25
3682, 25
3929, 25
4073, 25
4431, 25
4596, 25
5426, 25
5709, 25
5760, 25
6067, 25
6140, 25
6809, 25
7074, 25
7185, 25
7520, 25
7788, 25
7910, 25
8681, 25
8955, 25
9241, 25
9972, 25
10696, 25
10794, 25
11527, 25
12131, 25
14028, 25
14514, 25
14578, 25
14772, 25
398, 24
1397, 24
1773, 24
2201, 24
2261, 24
2409, 24
2787, 24
3284, 24
3617, 24
4985, 24
5203, 24
5516, 24
5712, 24
5748, 24
5906, 24
6109, 24
6134, 24
6178, 24
