Sorted by highest frequency
Relation id, count
1164, 3043
1122, 2910
421, 2809
565, 2711
508, 2485
721, 2443
1142, 2353
624, 2103
86, 1942
1226, 1885
93, 1604
143, 1551
751, 1468
136, 1428
1111, 1418
35, 1406
665, 1400
1096, 1264
844, 1249
65, 1243
516, 1235
1147, 1173
246, 1154
875, 1130
589, 1113
853, 1053
53, 989
52, 965
1296, 955
1138, 919
1088, 913
910, 850
887, 815
1053, 812
745, 781
814, 772
684, 703
316, 676
648, 663
381, 652
192, 625
1058, 618
242, 609
387, 602
326, 586
805, 579
104, 575
296, 563
1180, 555
1079, 553
472, 548
180, 529
495, 526
384, 521
1340, 521
368, 520
277, 518
1263, 513
42, 501
1014, 496
425, 492
520, 491
1207, 486
856, 484
74, 474
1201, 472
892, 458
204, 456
429, 446
583, 427
935, 421
1008, 415
261, 408
712, 408
254, 399
548, 394
530, 393
845, 392
1168, 392
78, 381
233, 369
597, 368
269, 361
748, 357
354, 353
1128, 353
5, 351
76, 351
330, 347
58, 344
595, 329
579, 325
319, 324
600, 324
190, 318
898, 292
1123, 289
160, 288
635, 287
200, 285
1218, 284
1044, 283
193, 282
298, 282
241, 276
1278, 276
973, 275
514, 261
85, 260
826, 258
1273, 258
872, 254
336, 253
976, 253
577, 252
62, 249
1259, 246
1275, 245
3, 244
1339, 235
488, 232
832, 232
1334, 231
461, 222
333, 217
838, 216
1291, 216
1004, 213
248, 211
1144, 208
376, 207
1257, 203
329, 202
619, 202
37, 201
349, 199
355, 199
59, 196
470, 195
923, 193
727, 192
475, 190
902, 186
948, 183
622, 182
459, 180
536, 174
588, 174
12, 173
858, 173
793, 172
725, 170
144, 169
890, 167
788, 164
1052, 162
880, 159
991, 159
699, 158
968, 158
1001, 157
280, 155
352, 155
394, 153
1158, 149
118, 148
734, 147
511, 144
971, 144
30, 143
54, 143
8, 140
134, 139
416, 137
1245, 137
49, 135
947, 135
188, 133
382, 132
877, 131
199, 130
346, 128
484, 128
863, 128
978, 128
803, 127
1, 126
47, 125
786, 124
781, 123
71, 122
282, 122
960, 122
969, 122
573, 120
761, 118
1328, 118
925, 117
460, 116
1327, 114
601, 113
327, 112
1244, 112
1011, 111
314, 110
444, 110
779, 109
792, 105
1246, 105
189, 103
1321, 103
95, 102
485, 101
904, 100
936, 100
1194, 99
1255, 99
1177, 98
637, 97
310, 96
768, 96
946, 96
56, 95
723, 93
442, 92
780, 92
953, 92
360, 91
612, 90
909, 90
571, 89
462, 87
45, 86
527, 86
229, 85
265, 84
436, 84
642, 84
1179, 84
765, 83
791, 81
926, 81
33, 80
306, 80
385, 79
1282, 79
302, 78
591, 78
184, 77
388, 77
