Entity id, count
5590, 4841
3325, 4074
8269, 3558
12223, 3209
9781, 2242
13088, 1858
4746, 1752
2119, 1701
6856, 1628
6547, 1619
470, 1507
733, 1428
7555, 1396
4, 1247
1483, 806
2313, 739
12937, 684
7221, 647
4358, 620
3457, 608
7374, 597
14326, 542
8650, 529
13534, 515
4415, 489
6872, 482
13694, 455
14764, 455
5241, 453
8621, 427
5358, 411
11690, 410
2407, 392
10980, 388
8939, 363
4688, 347
10243, 347
14398, 347
14458, 338
3064, 335
10599, 332
7585, 322
1356, 318
13591, 311
2146, 307
6083, 306
8403, 304
1362, 303
207, 301
1972, 293
7529, 292
4188, 284
1065, 282
14214, 279
947, 274
1214, 272
8393, 269
12329, 267
294, 264
10861, 262
5305, 260
2696, 259
6781, 250
13017, 244
485, 240
1674, 239
4643, 239
7969, 239
4783, 237
11608, 237
3198, 233
1470, 232
8906, 232
6981, 223
6560, 222
13346, 220
12126, 218
5938, 217
9163, 215
5269, 213
5912, 210
9539, 206
4535, 204
6005, 203
5239, 200
2565, 199
14933, 199
3983, 196
7277, 196
6963, 195
6885, 193
13265, 192
7285, 191
12230, 191
468, 190
4714, 190
9035, 190
5072, 188
5688, 187
11238, 187
1039, 186
2331, 185
7701, 185
8785, 185
10241, 185
7746, 184
552, 183
7890, 183
11194, 182
4300, 181
5218, 181
9824, 181
12795, 181
1904, 180
12832, 178
12891, 177
13103, 174
6256, 172
14858, 172
4544, 171
905, 168
8464, 167
8718, 167
12245, 167
3791, 166
1731, 165
5330, 164
8645, 164
13472, 164
1478, 163
6768, 163
4219, 161
14132, 161
4423, 159
1937, 158
3340, 158
5800, 157
7757, 157
5011, 156
4943, 153
8935, 153
3559, 152
10959, 152
763, 150
10752, 149
13500, 149
14338, 149
1830, 148
2744, 147
6985, 147
424, 146
5240, 146
612, 145
2754, 145
4207, 145
12764, 145
888, 144
1457, 144
6976, 144
8882, 144
3994, 142
10359, 142
14103, 142
14004, 141
9034, 139
12349, 139
7348, 138
8511, 138
3534, 137
7564, 137
12216, 136
12493, 136
1266, 135
3453, 135
4078, 135
7164, 135
2668, 134
6354, 133
1650, 131
12231, 131
14389, 131
1071, 130
3443, 130
86, 129
715, 129
6496, 129
11250, 129
6727, 128
7582, 128
9352, 128
2890, 127
10515, 127
13840, 126
819, 125
6713, 125
14065, 125
3911, 124
5910, 124
13829, 124
10869, 123
11005, 123
13376, 123
9511, 122
13447, 121
6949, 120
10996, 120
11258, 120
2344, 119
4697, 119
220, 118
7107, 116
11411, 116
7668, 115
10877, 115
3070, 114
7338, 113
7871, 113
14779, 113
173, 112
4792, 112
5027, 112
12194, 112
7452, 109
9954, 109
10320, 109
452, 108
1767, 108
3197, 108
12186, 108
12423, 108
3858, 107
10504, 107
1313, 106
10767, 106
12633, 106
12890, 106
7779, 105
10817, 105
1741, 104
9513, 104
12714, 104
13001, 104
2536, 103
14898, 103
11231, 102
3339, 101
6726, 101
12729, 101
12595, 100
6540, 99
10479, 99
10902, 99
6762, 98
9863, 98
158, 97
3414, 97
8647, 97
11357, 97
14702, 97
7544, 96
198, 95
4055, 95
9211, 95
8654, 94
11055, 94
14777, 94
14926, 94
6046, 93
6211, 93
8489, 93
14421, 93
9733, 92
14603, 92
1055, 91
3927, 91
4533, 91
7839, 91
11610, 91
13204, 91
1434, 90
2829, 90
6100, 90
7398, 90
10683, 90
13169, 90
14316, 90
2475, 89
2713, 89
5779, 89
7524, 89
8837, 89
14045, 89
1788, 88
13284, 88
448, 87
3625, 87
4684, 87
9992, 87
10090, 87
14104, 87
2855, 86
8387, 86
9009, 86
10644, 86
2194, 85
5258, 85
13021, 85
13494, 85
3405, 84
8656, 84
9149, 84
12523, 84
14210, 84
677, 83
3108, 83
5891, 83
5929, 83
12513, 83
12592, 83
14822, 83
1161, 82
3708, 82
5867, 82
1661, 81
4419, 81
7562, 81
9391, 81
10011, 81
11416, 81
14005, 81
14920, 81
1726, 80
4744, 80
5903, 80
7846, 80
7940, 80
11219, 80
13301, 80
384, 79
1226, 79
3031, 79
4019, 79
4447, 79
7549, 79
11111, 79
3063, 78
4998, 78
5069, 78
10470, 78
11368, 78
13974, 78
14491, 78
969, 77
1147, 77
5908, 77
6773, 77
7060, 77
7444, 77
9081, 77
12026, 77
12393, 77
12415, 77
14060, 77
14297, 77
794, 76
2304, 76
2839, 76
7413, 76
8903, 76
14154, 76
2085, 75
4105, 75
4991, 75
7679, 75
10592, 75
11117, 75
1331, 74
2226, 74
2620, 74
3617, 74
4832, 74
8336, 74
8357, 74
1210, 73
2903, 73
7300, 73
8978, 73
10978, 73
13985, 73
14254, 73
14925, 73
1685, 72
3494, 72
8549, 72
9302, 72
12288, 72
530, 71
2302, 71
3238, 71
4727, 71
6185, 71
7816, 71
10688, 71
10794, 71
13812, 71
1285, 70
4626, 70
4872, 70
5825, 70
6685, 70
8608, 70
9985, 70
11198, 70
14539, 70
14790, 70
14885, 70
1656, 69
2931, 69
3679, 69
4343, 69
7432, 69
9972, 69
12788, 69
13428, 69
14199, 69
65, 68
3517, 68
3550, 68
3782, 68
5344, 68
6327, 68
8248, 68
11741, 68
12046, 68
12084, 68
12152, 68
13116, 68
14090, 68
330, 67
2204, 67
5030, 67
5776, 67
6030, 67
6238, 67
8631, 67
10540, 67
11576, 67
12994, 67
2409, 66
5345, 66
6027, 66
7511, 66
12306, 66
1695, 65
8304, 65
8682, 65
10017, 65
12125, 65
13114, 65
13117, 65
13254, 65
49, 64
1639, 64
3219, 64
4049, 64
4518, 64
5213, 64
5760, 64
7520, 64
7610, 64
7836, 64
12793, 64
12810, 64
12826, 64
12924, 64
410, 63
1976, 63
2130, 63
3408, 63
5635, 63
7074, 63
13716, 63
14067, 63
14162, 63
14439, 63
14514, 63
14726, 63
134, 62
996, 62
2312, 62
3739, 62
6260, 62
6409, 62
7910, 62
8965, 62
9329, 62
9700, 62
10233, 62
10490, 62
12746, 62
12792, 62
13273, 62
255, 61
1453, 61
2257, 61
2615, 61
3904, 61
6140, 61
6145, 61
6299, 61
7744, 61
8299, 61
9332, 61
10675, 61
10926, 61
10932, 61
11527, 61
11621, 61
13350, 61
1397, 60
2261, 60
2787, 60
5712, 60
6484, 60
6608, 60
6758, 60
7250, 60
7637, 60
7670, 60
7869, 60
7963, 60
9367, 60
9673, 60
11468, 60
11988, 60
12006, 60
696, 59
911, 59
2921, 59
3155, 59
5395, 59
5664, 59
6129, 59
7087, 59
7794, 59
8317, 59
8377, 59
8554, 59
8826, 59
9588, 59
11265, 59
11892, 59
12397, 59
13622, 59
13908, 59
14844, 59
1686, 58
2201, 58
2215, 58
3103, 58
6678, 58
7622, 58
10355, 58
11333, 58
11623, 58
12444, 58
14287, 58
1425, 57
2024, 57
2414, 57
2575, 57
2592, 57
3929, 57
3966, 57
5426, 57
5812, 57
6134, 57
6158, 57
7201, 57
7770, 57
7953, 57
8394, 57
8432, 57
9241, 57
9375, 57
12847, 57
13410, 57
14331, 57
14890, 57
118, 56
673, 56
756, 56
1545, 56
3084, 56
4389, 56
4431, 56
6854, 56
7185, 56
8001, 56
10766, 56
11068, 56
13546, 56
1808, 55
2160, 55
2349, 55
2523, 55
3506, 55
4985, 55
5303, 55
6255, 55
6410, 55
6830, 55
7039, 55
7591, 55
7932, 55
8255, 55
8695, 55
10068, 55
10485, 55
11274, 55
12011, 55
12213, 55
13005, 55
13013, 55
14348, 55
143, 54
398, 54
2436, 54
2478, 54
2833, 54
3014, 54
3877, 54
4380, 54
4671, 54
4731, 54
6273, 54
6340, 54
6438, 54
7739, 54
8021, 54
9212, 54
10134, 54
10372, 54
11792, 54
12088, 54
12654, 54
13892, 54
13939, 54
14028, 54
14303, 54
14625, 54
343, 53
434, 53
2350, 53
3227, 53
3280, 53
3682, 53
3694, 53
3800, 53
4073, 53
4601, 53
5049, 53
5992, 53
6184, 53
6304, 53
6548, 53
7003, 53
7123, 53
7227, 53
7316, 53
7351, 53
8267, 53
8681, 53
10152, 53
10324, 53
10423, 53
10808, 53
11228, 53
11656, 53
12131, 53
13570, 53
14438, 53
14757, 53
2403, 52
3630, 52
5552, 52
6007, 52
6208, 52
6530, 52
8991, 52
10254, 52
10659, 52
10735, 52
10778, 52
11418, 52
11922, 52
12465, 52
13027, 52
13687, 52
503, 51
932, 51
1567, 51
3518, 51
3635, 51
3963, 51
4596, 51
4810, 51
5096, 51
6105, 51
6153, 51
6341, 51
6406, 51
6798, 51
8034, 51
8276, 51
8589, 51
8627, 51
8955, 51
9305, 51
10188, 51
10721, 51
11669, 51
789, 50
1744, 50
2383, 50
2865, 50
2886, 50
3386, 50
3533, 50
3785, 50
5516, 50
6300, 50
6676, 50
7216, 50
7619, 50
7867, 50
8061, 50
8735, 50
8937, 50
9209, 50
10158, 50
10710, 50
10773, 50
10872, 50
10912, 50
10986, 50
12527, 50
12733, 50
13162, 50
13935, 50
14252, 50
14772, 50
146, 49
230, 49
800, 49
852, 49
989, 49
1261, 49
3192, 49
3844, 49
4841, 49
4877, 49
4968, 49
5043, 49
5051, 49
6178, 49
6404, 49
6809, 49
7176, 49
8320, 49
8574, 49
9461, 49
9904, 49
10679, 49
11355, 49
12453, 49
12724, 49
13055, 49
13141, 49
14431, 49
14863, 49
14879, 49
553, 48
1719, 48
1773, 48
2051, 48
2217, 48
5110, 48
5366, 48
5589, 48
5709, 48
5823, 48
6338, 48
6829, 48
6971, 48
7645, 48
8230, 48
8997, 48
9106, 48
11257, 48
11586, 48
12176, 48
12455, 48
13791, 48
13837, 48
13849, 48
595, 47
740, 47
1999, 47
2127, 47
2327, 47
2543, 47
2585, 47
3284, 47
4368, 47
4738, 47
4897, 47
6589, 47
7745, 47
8190, 47
9148, 47
9688, 47
9807, 47
10231, 47
10840, 47
11058, 47
11716, 47
12183, 47
12277, 47
12554, 47
12582, 47
13630, 47
13834, 47
13877, 47
708, 46
776, 46
807, 46
1269, 46
1416, 46
1558, 46
1932, 46
2640, 46
3147, 46
3385, 46
3729, 46
3766, 46
4949, 46
5316, 46
5875, 46
5906, 46
6014, 46
6109, 46
6278, 46
6692, 46
7008, 46
7026, 46
7053, 46
7059, 46
7476, 46
7541, 46
7703, 46
7788, 46
7900, 46
8149, 46
8437, 46
8550, 46
8637, 46
8820, 46
9581, 46
9918, 46
10619, 46
10755, 46
10930, 46
11025, 46
11423, 46
11614, 46
11744, 46
12149, 46
13422, 46
13506, 46
13678, 46
14136, 46
14342, 46
14343, 46
14715, 46
2006, 45
2289, 45
2333, 45
2346, 45
2368, 45
2593, 45
2720, 45
2759, 45
2856, 45
3183, 45
3320, 45
3356, 45
3838, 45
4295, 45
4372, 45
5619, 45
5634, 45
6344, 45
7106, 45
7114, 45
7214, 45
7706, 45
7921, 45
8424, 45
8534, 45
8862, 45
9685, 45
10559, 45
11531, 45
12913, 45
12981, 45
13085, 45
13388, 45
14485, 45
14578, 45
14946, 45
428, 44
834, 44
862, 44
1296, 44
1533, 44
2272, 44
2463, 44
3039, 44
3696, 44
4029, 44
4791, 44
4975, 44
5759, 44
6008, 44
6658, 44
6780, 44
6860, 44
7329, 44
7332, 44
7833, 44
7902, 44
8827, 44
9356, 44
10557, 44
10665, 44
10812, 44
11279, 44
12018, 44
12050, 44
13083, 44
13309, 44
13476, 44
14465, 44
14944, 44
111, 43
184, 43
231, 43
455, 43
749, 43
845, 43
1098, 43
1209, 43
1557, 43
1973, 43
2188, 43
2857, 43
3154, 43
3158, 43
3379, 43
4893, 43
5025, 43
5326, 43
5773, 43
7220, 43
7313, 43
7685, 43
7795, 43
8112, 43
8238, 43
8444, 43
8622, 43
9067, 43
9527, 43
9621, 43
9680, 43
9962, 43
10196, 43
11723, 43
12251, 43
12972, 43
13408, 43
13652, 43
14200, 43
14277, 43
14551, 43
14592, 43
14802, 43
41, 42
1177, 42
1256, 42
1657, 42
1986, 42
1990, 42
2225, 42
2547, 42
2800, 42
2914, 42
3007, 42
3171, 42
3283, 42
3469, 42
3774, 42
3876, 42
4609, 42
4826, 42
5203, 42
5498, 42
5713, 42
5727, 42
5748, 42
5887, 42
6192, 42
7113, 42
7735, 42
8138, 42
8354, 42
8677, 42
8897, 42
9470, 42
9850, 42
10392, 42
10582, 42
10895, 42
11521, 42
11719, 42
12129, 42
12705, 42
13007, 42
13248, 42
13780, 42
13805, 42
14016, 42
14489, 42
14575, 42
263, 41
520, 41
1437, 41
1584, 41
1676, 41
1782, 41
1796, 41
1810, 41
1831, 41
1951, 41
1987, 41
2305, 41
2336, 41
2821, 41
3342, 41
3445, 41
4196, 41
4729, 41
4851, 41
4900, 41
5100, 41
5728, 41
5991, 41
6128, 41
6254, 41
6617, 41
6748, 41
6846, 41
7261, 41
7475, 41
7514, 41
7820, 41
8058, 41
8202, 41
8260, 41
8345, 41
8411, 41
8904, 41
9159, 41
9400, 41
9643, 41
9687, 41
9726, 41
10380, 41
10451, 41
10505, 41
10555, 41
10642, 41
11338, 41
13318, 41
14436, 41
14509, 41
14664, 41
14865, 41
201, 40
317, 40
420, 40
522, 40
935, 40
1283, 40
1865, 40
2172, 40
3549, 40
4082, 40
4088, 40
4218, 40
4666, 40
4865, 40
4950, 40
4980, 40
5455, 40
5502, 40
5670, 40
5804, 40
6067, 40
6417, 40
6440, 40
6564, 40
6595, 40
6642, 40
7414, 40
7628, 40
8470, 40
8510, 40
9247, 40
9753, 40
9841, 40
9880, 40
9976, 40
11298, 40
11479, 40
11834, 40
11873, 40
11956, 40
12408, 40
12499, 40
12619, 40
12754, 40
12787, 40
12864, 40
12958, 40
13213, 40
13356, 40
14318, 40
14492, 40
14837, 40
14913, 40
534, 39
632, 39
676, 39
808, 39
1086, 39
1155, 39
1489, 39
1870, 39
2126, 39
2169, 39
2374, 39
2692, 39
2694, 39
