Relation id, count
421, 6715
1164, 6590
1122, 6497
565, 6290
721, 5760
508, 5437
1142, 5315
624, 4425
1226, 4245
86, 4214
93, 3723
143, 3489
751, 3401
136, 3223
665, 3019
1096, 2970
1111, 2968
516, 2881
35, 2866
844, 2865
65, 2730
1147, 2668
589, 2548
875, 2544
53, 2375
246, 2374
853, 2369
1296, 2198
1138, 2139
1088, 2077
52, 2055
887, 2013
1053, 1927
910, 1920
814, 1667
745, 1652
684, 1632
381, 1548
192, 1536
387, 1483
1058, 1436
648, 1396
805, 1391
242, 1372
326, 1338
180, 1324
104, 1315
296, 1292
316, 1258
1340, 1212
368, 1176
495, 1150
1263, 1147
1180, 1131
1014, 1129
425, 1128
472, 1128
384, 1122
204, 1115
1079, 1104
42, 1103
520, 1103
856, 1090
74, 1066
892, 1062
277, 1059
429, 1059
1008, 1034
1201, 1031
1207, 1030
583, 954
935, 943
58, 922
78, 875
233, 868
1168, 863
254, 860
530, 858
269, 839
748, 831
261, 829
712, 826
597, 807
595, 795
548, 793
845, 777
76, 775
319, 767
1128, 759
354, 745
330, 743
5, 737
600, 733
1123, 729
1044, 707
190, 705
579, 688
241, 671
514, 656
160, 649
832, 643
488, 641
976, 639
1278, 627
298, 625
200, 621
1218, 614
577, 601
973, 587
193, 577
898, 574
62, 566
1275, 565
336, 558
872, 552
1334, 538
1004, 533
1259, 528
1339, 522
248, 515
838, 512
85, 508
635, 507
1273, 501
461, 499
329, 498
619, 494
826, 483
3, 481
948, 481
1257, 470
1144, 468
475, 466
355, 449
349, 448
588, 448
923, 442
902, 441
727, 440
333, 438
1052, 428
37, 417
788, 397
622, 395
1001, 390
890, 389
376, 378
470, 378
459, 374
991, 371
968, 366
1291, 366
59, 365
536, 365
725, 361
12, 358
699, 358
280, 357
394, 357
793, 356
1158, 356
971, 348
734, 340
54, 336
803, 334
144, 327
8, 323
511, 323
877, 319
858, 317
416, 312
30, 309
880, 309
188, 308
382, 305
1245, 305
189, 297
863, 295
118, 293
352, 293
969, 291
1, 285
947, 285
282, 284
47, 278
71, 278
781, 278
637, 277
573, 275
56, 272
484, 272
134, 269
925, 263
779, 260
1244, 259
346, 258
199, 256
1327, 255
1194, 253
460, 252
761, 250
1011, 249
1255, 249
1328, 247
314, 239
49, 238
444, 237
960, 235
1321, 232
327, 231
45, 230
360, 229
1177, 229
936, 228
786, 227
792, 224
442, 223
601, 221
904, 218
310, 216
1179, 215
184, 213
462, 213
485, 213
723, 213
978, 206
95, 205
265, 205
436, 205
571, 205
946, 204
1246, 204
953, 202
302, 200
612, 200
527, 193
780, 191
802, 188
1227, 187
800, 184
861, 182
801, 180
922, 178
428, 177
591, 176
553, 175
33, 173
765, 172
388, 171
477, 170
1282, 170
926, 168
642, 165
981, 165
229, 163
768, 163
1331, 163
311, 162
543, 162
909, 162
60, 159
535, 159
448, 158
1260, 157
1267, 156
791, 155
933, 153
700, 152
866, 151
456, 150
1103, 150
653, 149
1298, 147
705, 144
385, 143
89, 141
494, 141
938, 140
1171, 138
522, 137
98, 136
432, 136
195, 135
306, 135
631, 134
749, 134
167, 133
668, 130
963, 127
989, 127
207, 126
774, 126
1013, 126
578, 125
126, 124
1028, 124
1080, 123
1092, 123
1104, 123
445, 121
859, 118
402, 117
225, 116
1031, 116
163, 114
452, 112
390, 111
1081, 111
216, 110
493, 110
285, 109
1203, 109
73, 108
842, 108
996, 107
1139, 107
1173, 107
1286, 107
318, 106
1137, 106
562, 105
50, 102
450, 102
766, 102
1120, 102
1050, 101
441, 100
469, 100
500, 100
604, 100
14, 99
271, 99
1005, 99
692, 98
1241, 98
154, 97
1213, 97
332, 96
440, 96
864, 96
1108, 95
103, 94
322, 94
474, 94
810, 94
983, 94
1170, 94
1174, 94
83, 93
309, 93
363, 93
717, 93
120, 92
356, 92
64, 90
166, 90
860, 90
965, 90
150, 89
458, 89
1157, 89
876, 88
1238, 88
1045, 87
1279, 87
634, 85
738, 85
148, 84
479, 84
993, 84
1249, 84
9, 83
178, 83
1200, 83
468, 82
1016, 82
836, 81
1064, 81
1274, 81
1214, 80
744, 79
1133, 79
438, 78
954, 78
1156, 78
106, 77
203, 77
559, 77
879, 77
1034, 77
1097, 77
334, 76
341, 76
515, 76
213, 75
799, 75
43, 74
119, 74
187, 74
1093, 74
15, 73
208, 72
655, 72
1007, 72
1089, 72
1124, 72
227, 71
133, 70
209, 70
270, 70
567, 70
1215, 69
176, 68
670, 68
1018, 68
1330, 68
870, 67
871, 67
27, 66
152, 66
168, 66
210, 66
467, 66
614, 66
733, 66
809, 66
26, 65
222, 65
293, 65
308, 65
396, 65
958, 65
1145, 65
789, 64
582, 63
611, 63
1208, 63
353, 62
537, 62
509, 61
798, 61
840, 61
927, 61
1316, 61
32, 60
556, 60
868, 60
895, 59
1268, 59
410, 58
607, 58
715, 58
754, 58
908, 58
988, 58
1117, 58
312, 57
395, 57
403, 57
726, 57
773, 57
778, 57
950, 57
1042, 57
1112, 57
1132, 57
1307, 57
48, 56
169, 56
251, 56
686, 56
970, 56
1317, 56
854, 55
259, 54
834, 54
1095, 54
1149, 54
1270, 54
407, 53
1023, 53
1074, 53
300, 52
629, 52
650, 52
652, 52
654, 52
806, 51
1243, 51
123, 50
255, 50
97, 49
324, 49
240, 48
790, 48
1075, 48
102, 47
137, 47
693, 47
702, 47
183, 46
232, 46
480, 46
491, 46
498, 46
632, 46
1140, 46
1277, 46
238, 45
288, 45
453, 45
1039, 45
268, 44
539, 44
625, 44
1012, 44
13, 43
39, 43
340, 42
471, 42
542, 42
1090, 42
476, 41
680, 41
44, 40
386, 40
545, 40
931, 40
1161, 40
1292, 40
1343, 40
1057, 39
544, 38
985, 38
0, 37
419, 37
590, 37
628, 37
992, 37
1105, 37
1251, 37
294, 36
304, 36
736, 36
913, 36
512, 35
518, 35
815, 35
1009, 35
337, 34
1172, 34
1319, 34
19, 33
519, 33
575, 33
627, 33
811, 33
883, 33
891, 33
957, 33
961, 33
1032, 33
1141, 33
1293, 33
1315, 33
21, 32
28, 32
72, 32
345, 32
369, 32
818, 32
830, 32
1129, 32
174, 31
558, 31
667, 31
796, 31
930, 31
974, 31
990, 31
1212, 31
348, 30
716, 30
769, 30
129, 29
197, 29
283, 29
677, 29
986, 29
1003, 29
1322, 29
146, 28
521, 28
587, 28
